Comment,cleanComment,resultCaseFolding,resultReplaceSlang,resultTokenize,resultStopword,resultStemming,sentimen
 @imamupayanto    itu terlalu jauh.  Dunia kita yg real ya tetep yang utama. Memangnya MENANAM PADI itu di dunia online???   Manusia butuh makan yg hanya tersedia melalu dunia nyata,itu terlalu jauh Dunia kita yg real ya tetep yang utama Memangnya MENANAM PADI itu di dunia online Manusia butuh makan yg hanya tersedia melalu dunia nyata,itu terlalu jauh dunia kita yg real ya tetep yang utama memangnya menanam padi itu di dunia online manusia butuh makan yg hanya tersedia melalu dunia nyata,itu terlalu jauh dunia kita yang real iya tetep yang utama memangnya menanam padi itu di dunia online manusia butuh makan yang hanya tersedia melalu dunia nyata,"['itu', 'terlalu', 'jauh', 'dunia', 'kita', 'yang', 'real', 'iya', 'tetep', 'yang', 'utama', 'memangnya', 'menanam', 'padi', 'itu', 'di', 'dunia', 'online', 'manusia', 'butuh', 'makan', 'yang', 'hanya', 'tersedia', 'melalu', 'dunia', 'nyata']","['dunia', 'real', 'iya', 'tetep', 'utama', 'memangnya', 'menanam', 'padi', 'dunia', 'online', 'manusia', 'butuh', 'makan', 'tersedia', 'melalu', 'dunia', 'nyata']","['dunia', 'real', 'iya', 'tetep', 'utama', 'memang', 'tanam', 'padi', 'dunia', 'online', 'manusia', 'butuh', 'makan', 'sedia', 'lalu', 'dunia', 'nyata']",negatif
"Memang bisa berubah, tetapi tidak drastis, karena chatGPT tidak bisa melakukan kalkulasi yg komplek",Memang bisa berubah tetapi tidak drastis karena chatGPT tidak bisa melakukan kalkulasi yg komplek,memang bisa berubah tetapi tidak drastis karena chatgpt tidak bisa melakukan kalkulasi yg komplek,memang bisa berubah tetapi tidak drastis karena chatgpt tidak bisa melakukan kalkulasi yang komplek,"['memang', 'bisa', 'berubah', 'tetapi', 'tidak', 'drastis', 'karena', 'chatgpt', 'tidak', 'bisa', 'melakukan', 'kalkulasi', 'yang', 'komplek']","['berubah', 'drastis', 'chatgpt', 'kalkulasi', 'komplek']","['ubah', 'drastis', 'chatgpt', 'kalkulasi', 'komplek']",negatif
ini ibarat www di tahun 1995-2000 ya?l,ini ibarat www di tahun - ya l,ini ibarat www di tahun - ya l,ini ibarat www di tahun - iya l,"['ini', 'ibarat', 'www', 'di', 'tahun', '-', 'iya', 'l']","['www', '-', 'iya']","['www', '-', 'iya']",negatif
" @imamupayanto  blockchain is a scam, sesuatu yg minim regulasi tidak akan berhasil",blockchain is a scam sesuatu yg minim regulasi tidak akan berhasil,blockchain is a scam sesuatu yg minim regulasi tidak akan berhasil,blockchain is a scam sesuatu yang minim regulasi tidak akan berhasil,"['blockchain', 'is', 'a', 'scam', 'sesuatu', 'yang', 'minim', 'regulasi', 'tidak', 'akan', 'berhasil']","['blockchain', 'is', 'scam', 'minim', 'regulasi', 'berhasil']","['blockchain', 'is', 'scam', 'minim', 'regulasi', 'hasil']",negatif
" @ikengikengKimoshi  Lebih jauh dari itu, bahkan lebih mudah mendidik AI daripada mendidik manusia. Untuk mendidik 1 manusia butuh 4 tahun, dengan AI seperti chat gpt, tinggal di kloning dan memiliki kecerdasn yang sama, katakan butuh waktu hanya 1 hari.",Lebih jauh dari itu bahkan lebih mudah mendidik AI daripada mendidik manusia Untuk mendidik manusia butuh tahun dengan AI seperti chat gpt tinggal di kloning dan memiliki kecerdasn yang sama katakan butuh waktu hanya hari,lebih jauh dari itu bahkan lebih mudah mendidik ai daripada mendidik manusia untuk mendidik manusia butuh tahun dengan ai seperti chat gpt tinggal di kloning dan memiliki kecerdasn yang sama katakan butuh waktu hanya hari,lebih jauh dari itu bahkan lebih mudah mendidik ai daripada mendidik manusia untuk mendidik manusia butuh tahun dengan ai seperti chat gpt tinggal di kloning dan memiliki kecerdasn yang sama katakan butuh waktu hanya hari,"['lebih', 'jauh', 'dari', 'itu', 'bahkan', 'lebih', 'mudah', 'mendidik', 'ai', 'daripada', 'mendidik', 'manusia', 'untuk', 'mendidik', 'manusia', 'butuh', 'tahun', 'dengan', 'ai', 'seperti', 'chat', 'gpt', 'tinggal', 'di', 'kloning', 'dan', 'memiliki', 'kecerdasn', 'yang', 'sama', 'katakan', 'butuh', 'waktu', 'hanya', 'hari']","['mudah', 'mendidik', 'ai', 'mendidik', 'manusia', 'mendidik', 'manusia', 'butuh', 'ai', 'chat', 'gpt', 'tinggal', 'kloning', 'memiliki', 'kecerdasn', 'butuh']","['mudah', 'didik', 'ai', 'didik', 'manusia', 'didik', 'manusia', 'butuh', 'ai', 'chat', 'gpt', 'tinggal', 'kloning', 'milik', 'kecerdasn', 'butuh']",negatif
" @biman1422  njir, teknologi dibilang dukun",njir teknologi dibilang dukun,njir teknologi dibilang dukun,njir teknologi dibilang dukun,"['njir', 'teknologi', 'dibilang', 'dukun']","['njir', 'teknologi', 'dibilang', 'dukun']","['njir', 'teknologi', 'bilang', 'dukun']",negatif
Kita kembali ke pendidikan syariah yg tanpa riba,Kita kembali ke pendidikan syariah yg tanpa riba,kita kembali ke pendidikan syariah yg tanpa riba,kita kembali ke pendidikan syariah yang tanpa riba,"['kita', 'kembali', 'ke', 'pendidikan', 'syariah', 'yang', 'tanpa', 'riba']","['pendidikan', 'syariah', 'riba']","['didik', 'syariah', 'riba']",negatif
 @imamupayanto Contohnya teknologi Metaverse yg memungkin setiap orang mampu memiliki harta di dunia maya & semua kembali kepada manusia yg memiliki harta/uang banyak di dunia nyata yg mampu melakukan hal tsb.,Contohnya teknologi Metaverse yg memungkin setiap orang mampu memiliki harta di dunia maya semua kembali kepada manusia yg memiliki harta uang banyak di dunia nyata yg mampu melakukan hal tsb,contohnya teknologi metaverse yg memungkin setiap orang mampu memiliki harta di dunia maya semua kembali kepada manusia yg memiliki harta uang banyak di dunia nyata yg mampu melakukan hal tsb,contohnya teknologi metaverse yang memungkin setiap orang mampu memiliki harta di dunia maya semua kembali kepada manusia yang memiliki harta uang banyak di dunia nyata yang mampu melakukan hal tersebut,"['contohnya', 'teknologi', 'metaverse', 'yang', 'memungkin', 'setiap', 'orang', 'mampu', 'memiliki', 'harta', 'di', 'dunia', 'maya', 'semua', 'kembali', 'kepada', 'manusia', 'yang', 'memiliki', 'harta', 'uang', 'banyak', 'di', 'dunia', 'nyata', 'yang', 'mampu', 'melakukan', 'hal', 'tersebut']","['contohnya', 'teknologi', 'metaverse', 'memungkin', 'orang', 'memiliki', 'harta', 'dunia', 'maya', 'manusia', 'memiliki', 'harta', 'uang', 'dunia', 'nyata']","['contoh', 'teknologi', 'metaverse', 'mungkin', 'orang', 'milik', 'harta', 'dunia', 'maya', 'manusia', 'milik', 'harta', 'uang', 'dunia', 'nyata']",negatif
 @sn5301679  pertanyaanya negara ini sudah maju atau blm? Indonesia itu teknologi belakangan politik lah yg terdepan,pertanyaanya negara ini sudah maju atau blm Indonesia itu teknologi belakangan politik lah yg terdepan,pertanyaanya negara ini sudah maju atau blm indonesia itu teknologi belakangan politik lah yg terdepan,pertanyaanya negara ini sudah maju atau belum indonesia itu teknologi belakangan politik lah yang terdepan,"['pertanyaanya', 'negara', 'ini', 'sudah', 'maju', 'atau', 'belum', 'indonesia', 'itu', 'teknologi', 'belakangan', 'politik', 'lah', 'yang', 'terdepan']","['pertanyaanya', 'negara', 'maju', 'indonesia', 'teknologi', 'politik', 'terdepan']","['pertanyaanya', 'negara', 'maju', 'indonesia', 'teknologi', 'politik', 'depan']",negatif
"Sebagai penulis artikel, Saya sepakat teknologi ini bisa sangat membantu kegiatan menulis, namun teknologi ini juga bisa menjadi ancaman jika usernya tidak bijaksana.",Sebagai penulis artikel Saya sepakat teknologi ini bisa sangat membantu kegiatan menulis namun teknologi ini juga bisa menjadi ancaman jika usernya tidak bijaksana,sebagai penulis artikel saya sepakat teknologi ini bisa sangat membantu kegiatan menulis namun teknologi ini juga bisa menjadi ancaman jika usernya tidak bijaksana,sebagai penulis artikel saya sepakat teknologi ini bisa sangat membantu kegiatan menulis namun teknologi ini juga bisa menjadi ancaman jika usernya tidak bijaksana,"['sebagai', 'penulis', 'artikel', 'saya', 'sepakat', 'teknologi', 'ini', 'bisa', 'sangat', 'membantu', 'kegiatan', 'menulis', 'namun', 'teknologi', 'ini', 'juga', 'bisa', 'menjadi', 'ancaman', 'jika', 'usernya', 'tidak', 'bijaksana']","['penulis', 'artikel', 'sepakat', 'teknologi', 'membantu', 'kegiatan', 'menulis', 'teknologi', 'ancaman', 'usernya', 'bijaksana']","['tulis', 'artikel', 'sepakat', 'teknologi', 'bantu', 'giat', 'tulis', 'teknologi', 'ancam', 'usernya', 'bijaksana']",negatif
