Comment,cleanComment,resultCaseFolding,resultReplaceSlang,resultTokenize,resultStopword,resultStemming,sentimen
"Buat kawan-kawan yang masih agak bingung atau asingdengan beberapa istilah yang dipakai di video ini, mungkin komentar ini bisa sedikit membantu:

1. Artificial  Intelligent
Sesuai artinya, artificial=buatan, intelligent=buatan, jadi sebuah algoritma yang dibuat manusia yang mampu berfikir layaknya manusia.

2. Algoritma
Sekumpulan instruksi atau perintah-perintah yang ditulis secara khusus dan sistematis untuk tujuan tertentu (bisanya dalam bentuk kode dalam sebuah bahasa pemrogaman)

3. Machine Learning
Sebuah algortima yang dibuat sehingga sebuah ""mesin"" dapat belajar, baik secara supervised, rainforced atau unsupervised. Machine Learning sendiri merupakan salah satu dari cabang AI

4. Unsupervised Machine Learning
Dalam hal cara mesin belajar, ada 3 cara, supervised (diajari), reinforced (trial and error) atau unsupervised (tidak diajari). Dalam kasus ini ChatGPT masuk kedalam jenis unsupervised machine learning. Artinya, dia bisa menjadi jauh lebih pintar tanpa perlu campur tangan manusia. Tapi tentu dia memiliki batasannya, karna algoritma yang dibuat sudah terkhusus kepada jenis text, bukan yang lain. Dan sebuah ML akan jauh lebih efektif jika tugas yang diberikan spesifik.",Buat kawan-kawan yang masih agak bingung atau asingdengan beberapa istilah yang dipakai di video ini mungkin komentar ini bisa sedikit membantu Artificial Intelligent Sesuai artinya artificial buatan intelligent buatan jadi sebuah algoritma yang dibuat manusia yang mampu berfikir layaknya manusia Algoritma Sekumpulan instruksi atau perintah-perintah yang ditulis secara khusus dan sistematis untuk tujuan tertentu bisanya dalam bentuk kode dalam sebuah bahasa pemrogaman Machine Learning Sebuah algortima yang dibuat sehingga sebuah mesin dapat belajar baik secara supervised rainforced atau unsupervised Machine Learning sendiri merupakan salah satu dari cabang AI Unsupervised Machine Learning alam hal cara mesin belajar ada cara supervised diajari reinforced trial and error atau unsupervised tidak diajari Dalam kasus ini ChatGPT masuk kedalam jenis unsupervised machine learning Artinya dia bisa menjadi jauh lebih pintar tanpa perlu campur tangan manusia Tapi tentu dia memiliki batasannya karna algoritma yang dibuat sudah terkhusus kepada jenis text bukan yang lain Dan sebuah ML akan jauh lebih efektif jika tugas yang diberikan spesifik,buat kawan-kawan yang masih agak bingung atau asingdengan beberapa istilah yang dipakai di video ini mungkin komentar ini bisa sedikit membantu artificial intelligent sesuai artinya artificial buatan intelligent buatan jadi sebuah algoritma yang dibuat manusia yang mampu berfikir layaknya manusia algoritma sekumpulan instruksi atau perintah-perintah yang ditulis secara khusus dan sistematis untuk tujuan tertentu bisanya dalam bentuk kode dalam sebuah bahasa pemrogaman machine learning sebuah algortima yang dibuat sehingga sebuah mesin dapat belajar baik secara supervised rainforced atau unsupervised machine learning sendiri merupakan salah satu dari cabang ai unsupervised machine learning alam hal cara mesin belajar ada cara supervised diajari reinforced trial and error atau unsupervised tidak diajari dalam kasus ini chatgpt masuk kedalam jenis unsupervised machine learning artinya dia bisa menjadi jauh lebih pintar tanpa perlu campur tangan manusia tapi tentu dia memiliki batasannya karna algoritma yang dibuat sudah terkhusus kepada jenis text bukan yang lain dan sebuah ml akan jauh lebih efektif jika tugas yang diberikan spesifik,buat kawan-kawan yang masih agak bingung atau asing dengan beberapa istilah yang dipakai di video ini mungkin komentar ini bisa sedikit membantu artificial intelligent sesuai artinya artificial buatan intelligent buatan jadi sebuah algoritma yang dibuat manusia yang mampu berfikir layaknya manusia algoritma sekumpulan instruksi atau perintah-perintah yang ditulis secara khusus dan sistematis untuk tujuan tertentu bisanya dalam bentuk kode dalam sebuah bahasa pemrogaman machine learning sebuah algortima yang dibuat sehingga sebuah mesin dapat belajar baik secara supervised rainforced atau unsupervised machine learning sendiri merupakan salah satu dari cabang ai unsupervised machine learning alam hal cara mesin belajar ada cara supervised diajari reinforced trial and error atau unsupervised tidak diajari dalam kasus ini chatgpt masuk kedalam jenis unsupervised machine learning artinya dia bisa menjadi jauh lebih pintar tanpa perlu campur tangan manusia tapi tentu dia memiliki batasannya karna algoritma yang dibuat sudah terkhusus kepada jenis text bukan yang lain dan sebuah ml akan jauh lebih efektif jika tugas yang diberikan spesifik,"['buat', 'kawan-kawan', 'yang', 'masih', 'agak', 'bingung', 'atau', 'asing', 'dengan', 'beberapa', 'istilah', 'yang', 'dipakai', 'di', 'video', 'ini', 'mungkin', 'komentar', 'ini', 'bisa', 'sedikit', 'membantu', 'artificial', 'intelligent', 'sesuai', 'artinya', 'artificial', 'buatan', 'intelligent', 'buatan', 'jadi', 'sebuah', 'algoritma', 'yang', 'dibuat', 'manusia', 'yang', 'mampu', 'berfikir', 'layaknya', 'manusia', 'algoritma', 'sekumpulan', 'instruksi', 'atau', 'perintah-perintah', 'yang', 'ditulis', 'secara', 'khusus', 'dan', 'sistematis', 'untuk', 'tujuan', 'tertentu', 'bisanya', 'dalam', 'bentuk', 'kode', 'dalam', 'sebuah', 'bahasa', 'pemrogaman', 'machine', 'learning', 'sebuah', 'algortima', 'yang', 'dibuat', 'sehingga', 'sebuah', 'mesin', 'dapat', 'belajar', 'baik', 'secara', 'supervised', 'rainforced', 'atau', 'unsupervised', 'machine', 'learning', 'sendiri', 'merupakan', 'salah', 'satu', 'dari', 'cabang', 'ai', 'unsupervised', 'machine', 'learning', 'alam', 'hal', 'cara', 'mesin', 'belajar', 'ada', 'cara', 'supervised', 'diajari', 'reinforced', 'trial', 'and', 'error', 'atau', 'unsupervised', 'tidak', 'diajari', 'dalam', 'kasus', 'ini', 'chatgpt', 'masuk', 'kedalam', 'jenis', 'unsupervised', 'machine', 'learning', 'artinya', 'dia', 'bisa', 'menjadi', 'jauh', 'lebih', 'pintar', 'tanpa', 'perlu', 'campur', 'tangan', 'manusia', 'tapi', 'tentu', 'dia', 'memiliki', 'batasannya', 'karna', 'algoritma', 'yang', 'dibuat', 'sudah', 'terkhusus', 'kepada', 'jenis', 'text', 'bukan', 'yang', 'lain', 'dan', 'sebuah', 'ml', 'akan', 'jauh', 'lebih', 'efektif', 'jika', 'tugas', 'yang', 'diberikan', 'spesifik']","['kawan-kawan', 'bingung', 'asing', 'istilah', 'dipakai', 'video', 'komentar', 'membantu', 'artificial', 'intelligent', 'sesuai', 'artificial', 'buatan', 'intelligent', 'buatan', 'algoritma', 'manusia', 'berfikir', 'layaknya', 'manusia', 'algoritma', 'sekumpulan', 'instruksi', 'perintah-perintah', 'ditulis', 'khusus', 'sistematis', 'tujuan', 'bisanya', 'bentuk', 'kode', 'bahasa', 'pemrogaman', 'machine', 'learning', 'algortima', 'mesin', 'belajar', 'supervised', 'rainforced', 'unsupervised', 'machine', 'learning', 'salah', 'cabang', 'ai', 'unsupervised', 'machine', 'learning', 'alam', 'mesin', 'belajar', 'supervised', 'diajari', 'reinforced', 'trial', 'and', 'error', 'unsupervised', 'diajari', 'chatgpt', 'masuk', 'kedalam', 'jenis', 'unsupervised', 'machine', 'learning', 'pintar', 'campur', 'tangan', 'manusia', 'memiliki', 'batasannya', 'karna', 'algoritma', 'terkhusus', 'jenis', 'text', 'ml', 'efektif', 'tugas', 'spesifik']","['kawan', 'bingung', 'asing', 'istilah', 'pakai', 'video', 'komentar', 'bantu', 'artificial', 'intelligent', 'sesuai', 'artificial', 'buat', 'intelligent', 'buat', 'algoritma', 'manusia', 'berfikir', 'layak', 'manusia', 'algoritma', 'kumpul', 'instruksi', 'perintah', 'tulis', 'khusus', 'sistematis', 'tuju', 'bisa', 'bentuk', 'kode', 'bahasa', 'pemrogaman', 'machine', 'learning', 'algortima', 'mesin', 'ajar', 'supervised', 'rainforced', 'unsupervised', 'machine', 'learning', 'salah', 'cabang', 'ai', 'unsupervised', 'machine', 'learning', 'alam', 'mesin', 'ajar', 'supervised', 'ajar', 'reinforced', 'trial', 'and', 'error', 'unsupervised', 'ajar', 'chatgpt', 'masuk', 'dalam', 'jenis', 'unsupervised', 'machine', 'learning', 'pintar', 'campur', 'tangan', 'manusia', 'milik', 'batas', 'karna', 'algoritma', 'khusus', 'jenis', 'text', 'ml', 'efektif', 'tugas', 'spesifik']",netral
TOLONG DI PIN,TOLONG DI PIN,tolong di pin,tolong di pin,"['tolong', 'di', 'pin']","['tolong', 'pin']","['tolong', 'pin']",netral
"Ralat bang poin ke 4 chat gpt itu fine tuning supervised learning bukan unsupervised di podcastnya Lex Friedman foundernya OpenAI wojciech zaremba bilang chat gpt di training pakai fine tuning dataset di closed environment alias gak terkoneksi ke internet artinya chat gpt itu di training pakai data yg udah bener bener di seleksi dulu, makanya hasilnya bisa lebih maksimal dibandingkan project AI lain yg dataset nya gak di seleksi dulu alias unsupervised.",Ralat bang poin ke chat gpt itu fine tuning supervised learning bukan unsupervised di podcastnya Lex Friedman foundernya OpenAI wojciech zaremba bilang chat gpt di training pakai fine tuning dataset di closed environment alias gak terkoneksi ke internet artinya chat gpt itu di training pakai data yg udah bener bener di seleksi dulu makanya hasilnya bisa lebih maksimal dibandingkan project AI lain yg dataset nya gak di seleksi dulu alias unsupervised,ralat bang poin ke chat gpt itu fine tuning supervised learning bukan unsupervised di podcastnya lex friedman foundernya openai wojciech zaremba bilang chat gpt di training pakai fine tuning dataset di closed environment alias gak terkoneksi ke internet artinya chat gpt itu di training pakai data yg udah bener bener di seleksi dulu makanya hasilnya bisa lebih maksimal dibandingkan project ai lain yg dataset nya gak di seleksi dulu alias unsupervised,ralat bang poin ke chat gpt itu fine tuning supervised learning bukan unsupervised di podcastnya lex friedman foundernya openai wojciech zaremba bilang chat gpt di training pakai fine tuning dataset di closed environment alias tidak terkoneksi ke internet artinya chat gpt itu di training pakai data yang udah bener bener di seleksi dulu makanya hasilnya bisa lebih maksimal dibandingkan project ai lain yang dataset nya tidak di seleksi dulu alias unsupervised,"['ralat', 'bang', 'poin', 'ke', 'chat', 'gpt', 'itu', 'fine', 'tuning', 'supervised', 'learning', 'bukan', 'unsupervised', 'di', 'podcastnya', 'lex', 'friedman', 'foundernya', 'openai', 'wojciech', 'zaremba', 'bilang', 'chat', 'gpt', 'di', 'training', 'pakai', 'fine', 'tuning', 'dataset', 'di', 'closed', 'environment', 'alias', 'tidak', 'terkoneksi', 'ke', 'internet', 'artinya', 'chat', 'gpt', 'itu', 'di', 'training', 'pakai', 'data', 'yang', 'udah', 'bener', 'bener', 'di', 'seleksi', 'dulu', 'makanya', 'hasilnya', 'bisa', 'lebih', 'maksimal', 'dibandingkan', 'project', 'ai', 'lain', 'yang', 'dataset', 'nya', 'tidak', 'di', 'seleksi', 'dulu', 'alias', 'unsupervised']","['ralat', 'bang', 'poin', 'chat', 'gpt', 'fine', 'tuning', 'supervised', 'learning', 'unsupervised', 'podcastnya', 'lex', 'friedman', 'foundernya', 'openai', 'wojciech', 'zaremba', 'bilang', 'chat', 'gpt', 'training', 'pakai', 'fine', 'tuning', 'dataset', 'closed', 'environment', 'alias', 'terkoneksi', 'internet', 'chat', 'gpt', 'training', 'pakai', 'data', 'udah', 'bener', 'bener', 'seleksi', 'hasilnya', 'maksimal', 'dibandingkan', 'project', 'ai', 'dataset', 'nya', 'seleksi', 'alias', 'unsupervised']","['ralat', 'bang', 'poin', 'chat', 'gpt', 'fine', 'tuning', 'supervised', 'learning', 'unsupervised', 'podcastnya', 'lex', 'friedman', 'foundernya', 'openai', 'wojciech', 'zaremba', 'bilang', 'chat', 'gpt', 'training', 'pakai', 'fine', 'tuning', 'dataset', 'closed', 'environment', 'alias', 'koneksi', 'internet', 'chat', 'gpt', 'training', 'pakai', 'data', 'udah', 'bener', 'bener', 'seleksi', 'hasil', 'maksimal', 'banding', 'project', 'ai', 'dataset', 'nya', 'seleksi', 'alias', 'unsupervised']",netral
" @itsvan5791  thanks bro koreksinya, di salah satu literasi yang gua baca masuknya unsupervised soalnya",thanks bro koreksinya di salah satu literasi yang gua baca masuknya unsupervised soalnya,thanks bro koreksinya di salah satu literasi yang gua baca masuknya unsupervised soalnya,thanks saudara koreksinya di salah satu literasi yang saya baca masuknya unsupervised soalnya,"['thanks', 'saudara', 'koreksinya', 'di', 'salah', 'satu', 'literasi', 'yang', 'saya', 'baca', 'masuknya', 'unsupervised', 'soalnya']","['thanks', 'saudara', 'koreksinya', 'salah', 'literasi', 'baca', 'masuknya', 'unsupervised']","['thanks', 'saudara', 'koreksi', 'salah', 'literasi', 'baca', 'masuk', 'unsupervised']",netral
 @IndrawanNugroho  My Pleasure Pak Indrawan :),My Pleasure Pak Indrawan,my pleasure pak indrawan,my pleasure pak indrawan,"['my', 'pleasure', 'pak', 'indrawan']","['my', 'pleasure', 'indrawan']","['my', 'pleasure', 'indrawan']",netral
" @fadhlurrohmanfaqih480  kalau pakai fine tuning dataset udah pasti supervised bang karena datasetnya harus di ranking dulu satu satu sama developernya, hasilnya bisa lebih akurat tapi minusnya jadi kurang update karena datasetnya harus di pilah dulu satu satu.",kalau pakai fine tuning dataset udah pasti supervised bang karena datasetnya harus di ranking dulu satu satu sama developernya hasilnya bisa lebih akurat tapi minusnya jadi kurang update karena datasetnya harus di pilah dulu satu satu,kalau pakai fine tuning dataset udah pasti supervised bang karena datasetnya harus di ranking dulu satu satu sama developernya hasilnya bisa lebih akurat tapi minusnya jadi kurang update karena datasetnya harus di pilah dulu satu satu,kalau pakai fine tuning dataset udah pasti supervised bang karena datasetnya harus di ranking dulu satu satu sama developernya hasilnya bisa lebih akurat tapi minusnya jadi kurang update karena datasetnya harus di pilah dulu satu satu,"['kalau', 'pakai', 'fine', 'tuning', 'dataset', 'udah', 'pasti', 'supervised', 'bang', 'karena', 'datasetnya', 'harus', 'di', 'ranking', 'dulu', 'satu', 'satu', 'sama', 'developernya', 'hasilnya', 'bisa', 'lebih', 'akurat', 'tapi', 'minusnya', 'jadi', 'kurang', 'update', 'karena', 'datasetnya', 'harus', 'di', 'pilah', 'dulu', 'satu', 'satu']","['pakai', 'fine', 'tuning', 'dataset', 'udah', 'supervised', 'bang', 'datasetnya', 'ranking', 'developernya', 'hasilnya', 'akurat', 'minusnya', 'update', 'datasetnya', 'pilah']","['pakai', 'fine', 'tuning', 'dataset', 'udah', 'supervised', 'bang', 'datasetnya', 'ranking', 'developer', 'hasil', 'akurat', 'minus', 'update', 'datasetnya', 'pilah']",netral
"tinggal pakai aja, tidak perlu semua tahu bagaimana cara membangunnya",tinggal pakai aja tidak perlu semua tahu bagaimana cara membangunnya,tinggal pakai aja tidak perlu semua tahu bagaimana cara membangunnya,tinggal pakai aja tidak perlu semua tahu bagaimana cara membangunnya,"['tinggal', 'pakai', 'aja', 'tidak', 'perlu', 'semua', 'tahu', 'bagaimana', 'cara', 'membangunnya']","['tinggal', 'pakai', 'aja', 'membangunnya']","['tinggal', 'pakai', 'aja', 'bangun']",netral
"KOMENTAR PAKAI CHATGPT:
I. Artificial Intelligence (AI)



AI adalah teknologi komputer yang dapat meniru kemampuan manusia, seperti berpikir, belajar, dan memecahkan masalah.",KOMENTAR PAKAI CHATGPT Artificial Intelligence AI AI adalah teknologi komputer yang dapat meniru kemampuan manusia seperti berpikir belajar dan memecahkan masalah,komentar pakai chatgpt artificial intelligence ai ai adalah teknologi komputer yang dapat meniru kemampuan manusia seperti berpikir belajar dan memecahkan masalah,komentar pakai chatgpt artificial intelligence ai ai adalah teknologi komputer yang dapat meniru kemampuan manusia seperti berpikir belajar dan memecahkan masalah,"['komentar', 'pakai', 'chatgpt', 'artificial', 'intelligence', 'ai', 'ai', 'adalah', 'teknologi', 'komputer', 'yang', 'dapat', 'meniru', 'kemampuan', 'manusia', 'seperti', 'berpikir', 'belajar', 'dan', 'memecahkan', 'masalah']","['komentar', 'pakai', 'chatgpt', 'artificial', 'intelligence', 'ai', 'ai', 'teknologi', 'komputer', 'meniru', 'kemampuan', 'manusia', 'berpikir', 'belajar', 'memecahkan']","['komentar', 'pakai', 'chatgpt', 'artificial', 'intelligence', 'ai', 'ai', 'teknologi', 'komputer', 'tiru', 'mampu', 'manusia', 'pikir', 'ajar', 'pecah']",netral
"2. algorithma itu bukan perintah, cuma design berupa draft gambar rumah (kalau di analogikan dalam engineering), sedangkan instruksi itu di sebut command (command terbagi 2 secara garis besar, ada machine language dan high level language atau human recognizable language), kumpulan instruksi/command di sebut aplikasi/script. sederhananya algorithm itu ide, sedangkan kumpulan dari instruksi itu implementasi dari ide tadi yg dituangkan dalam salah satu bahasa pemrograman.",algorithma itu bukan perintah cuma design berupa draft gambar rumah kalau di analogikan dalam engineering sedangkan instruksi itu di sebut command command terbagi secara garis besar ada machine language dan high level language atau human recognizable language kumpulan instruksi command di sebut aplikasi script sederhananya algorithm itu ide sedangkan kumpulan dari instruksi itu implementasi dari ide tadi yg dituangkan dalam salah satu bahasa pemrograman,algorithma itu bukan perintah cuma design berupa draft gambar rumah kalau di analogikan dalam engineering sedangkan instruksi itu di sebut command command terbagi secara garis besar ada machine language dan high level language atau human recognizable language kumpulan instruksi command di sebut aplikasi script sederhananya algorithm itu ide sedangkan kumpulan dari instruksi itu implementasi dari ide tadi yg dituangkan dalam salah satu bahasa pemrograman,algoritma itu bukan perintah cuma design berupa draft gambar rumah kalau di analogikan dalam engineering sedangkan instruksi itu di sebut command command terbagi secara garis besar ada machine language dan high level language atau human recognizable language kumpulan instruksi command di sebut aplikasi script sederhananya algorithm itu ide sedangkan kumpulan dari instruksi itu implementasi dari ide tadi yang dituangkan dalam salah satu bahasa pemrograman,"['algoritma', 'itu', 'bukan', 'perintah', 'cuma', 'design', 'berupa', 'draft', 'gambar', 'rumah', 'kalau', 'di', 'analogikan', 'dalam', 'engineering', 'sedangkan', 'instruksi', 'itu', 'di', 'sebut', 'command', 'command', 'terbagi', 'secara', 'garis', 'besar', 'ada', 'machine', 'language', 'dan', 'high', 'level', 'language', 'atau', 'human', 'recognizable', 'language', 'kumpulan', 'instruksi', 'command', 'di', 'sebut', 'aplikasi', 'script', 'sederhananya', 'algorithm', 'itu', 'ide', 'sedangkan', 'kumpulan', 'dari', 'instruksi', 'itu', 'implementasi', 'dari', 'ide', 'tadi', 'yang', 'dituangkan', 'dalam', 'salah', 'satu', 'bahasa', 'pemrograman']","['algoritma', 'perintah', 'design', 'draft', 'gambar', 'rumah', 'analogikan', 'engineering', 'instruksi', 'command', 'command', 'terbagi', 'garis', 'machine', 'language', 'high', 'level', 'language', 'human', 'recognizable', 'language', 'kumpulan', 'instruksi', 'command', 'aplikasi', 'script', 'sederhananya', 'algorithm', 'ide', 'kumpulan', 'instruksi', 'implementasi', 'ide', 'dituangkan', 'salah', 'bahasa', 'pemrograman']","['algoritma', 'perintah', 'design', 'draft', 'gambar', 'rumah', 'analogi', 'engineering', 'instruksi', 'command', 'command', 'bagi', 'garis', 'machine', 'language', 'high', 'level', 'language', 'human', 'recognizable', 'language', 'kumpul', 'instruksi', 'command', 'aplikasi', 'script', 'sederhana', 'algorithm', 'ide', 'kumpul', 'instruksi', 'implementasi', 'ide', 'tuang', 'salah', 'bahasa', 'pemrograman']",netral
"Understandable if you could generate definitions of a subject in real time now that you're connected with AI the so called ""ChatGpt.""",Understandable if you could generate definitions of a subject in real time now that you re connected with AI the so called ChatGpt,understandable if you could generate definitions of a subject in real time now that you re connected with ai the so called chatgpt,understandable if you could generate definitions of a subject in real time now that you re connected with ai the so called chatgpt,"['understandable', 'if', 'you', 'could', 'generate', 'definitions', 'of', 'a', 'subject', 'in', 'real', 'time', 'now', 'that', 'you', 're', 'connected', 'with', 'ai', 'the', 'so', 'called', 'chatgpt']","['understandable', 'if', 'you', 'could', 'generate', 'definitions', 'of', 'subject', 'in', 'real', 'time', 'now', 'that', 'you', 're', 'connected', 'with', 'ai', 'the', 'so', 'called', 'chatgpt']","['understandable', 'if', 'you', 'could', 'generate', 'definitions', 'of', 'subject', 'in', 'real', 'time', 'now', 'that', 'you', 're', 'connected', 'with', 'ai', 'the', 'so', 'called', 'chatgpt']",netral
