Comment,cleanComment,resultCaseFolding,resultReplaceSlang,resultTokenize,resultStopword,resultStemming,sentimen
terimakasih penjelasannya. sangat membantu,terimakasih penjelasannya sangat membantu,terimakasih penjelasannya sangat membantu,terimakasih penjelasannya sangat membantu,"['terimakasih', 'penjelasannya', 'sangat', 'membantu']","['terimakasih', 'penjelasannya', 'membantu']","['terimakasih', 'jelas', 'bantu']",positif
Thanks untuk additional infonya mas,Thanks untuk additional infonya mas,thanks untuk additional infonya mas,thanks untuk additional infonya mas,"['thanks', 'untuk', 'additional', 'infonya', 'mas']","['thanks', 'additional', 'infonya', 'mas']","['thanks', 'additional', 'info', 'mas']",positif
"Saya sangat suka komentar komentar di sini. tidak ada yang ""menggoblokan"" komentar orang lain. Bersedia di koreksi jika ada informasi yang kurang pas. Saling membangun, Saling respect, dan bersedia membuka kemngkinan salah. Good Vibes!",Saya sangat suka komentar komentar di sini tidak ada yang menggoblokan komentar orang lain Bersedia di koreksi jika ada informasi yang kurang pas Saling membangun Saling respect dan bersedia membuka kemngkinan salah Good Vibes,saya sangat suka komentar komentar di sini tidak ada yang menggoblokan komentar orang lain bersedia di koreksi jika ada informasi yang kurang pas saling membangun saling respect dan bersedia membuka kemngkinan salah good vibes,saya sangat suka komentar komentar di sini tidak ada yang menggoblokan komentar orang lain bersedia di koreksi jika ada informasi yang kurang pas saling membangun saling respect dan bersedia membuka kemngkinan salah good vibes,"['saya', 'sangat', 'suka', 'komentar', 'komentar', 'di', 'sini', 'tidak', 'ada', 'yang', 'menggoblokan', 'komentar', 'orang', 'lain', 'bersedia', 'di', 'koreksi', 'jika', 'ada', 'informasi', 'yang', 'kurang', 'pas', 'saling', 'membangun', 'saling', 'respect', 'dan', 'bersedia', 'membuka', 'kemngkinan', 'salah', 'good', 'vibes']","['suka', 'komentar', 'komentar', 'menggoblokan', 'komentar', 'orang', 'bersedia', 'koreksi', 'informasi', 'pas', 'membangun', 'respect', 'bersedia', 'membuka', 'kemngkinan', 'salah', 'good', 'vibes']","['suka', 'komentar', 'komentar', 'goblok', 'komentar', 'orang', 'sedia', 'koreksi', 'informasi', 'pas', 'bangun', 'respect', 'sedia', 'buka', 'kemngkinan', 'salah', 'good', 'vibes']",positif
"Aku baru saja tanya kepada ChatGPT. Tak usah khawatir. ChatGPT itu dikategori pertama. 

ChatGPT termasuk model AI jenis apa? ",Aku baru saja tanya kepada ChatGPT Tak usah khawatir ChatGPT itu dikategori pertama hatGPT termasuk model AI jenis apa,aku baru saja tanya kepada chatgpt tak usah khawatir chatgpt itu dikategori pertama hatgpt termasuk model ai jenis apa,aku baru saja tanya kepada chatgpt tak usah khawatir chatgpt itu dikategori pertama hatgpt termasuk model ai jenis apa,"['aku', 'baru', 'saja', 'tanya', 'kepada', 'chatgpt', 'tak', 'usah', 'khawatir', 'chatgpt', 'itu', 'dikategori', 'pertama', 'hatgpt', 'termasuk', 'model', 'ai', 'jenis', 'apa']","['chatgpt', 'khawatir', 'chatgpt', 'dikategori', 'hatgpt', 'model', 'ai', 'jenis']","['chatgpt', 'khawatir', 'chatgpt', 'kategori', 'hatgpt', 'model', 'ai', 'jenis']",positif
"Jgn senang dulu, dimasa depan AI pasti akan tertawa menonton ketakutan kita sekarang terhadap kedatangan mereka",Jgn senang dulu dimasa depan AI pasti akan tertawa menonton ketakutan kita sekarang terhadap kedatangan mereka,jgn senang dulu dimasa depan ai pasti akan tertawa menonton ketakutan kita sekarang terhadap kedatangan mereka,jangan senang dulu dimasa depan ai pasti akan tertawa menonton ketakutan kita sekarang terhadap kedatangan mereka,"['jangan', 'senang', 'dulu', 'dimasa', 'depan', 'ai', 'pasti', 'akan', 'tertawa', 'menonton', 'ketakutan', 'kita', 'sekarang', 'terhadap', 'kedatangan', 'mereka']","['senang', 'dimasa', 'ai', 'tertawa', 'menonton', 'ketakutan', 'kedatangan']","['senang', 'masa', 'ai', 'tertawa', 'tonton', 'takut', 'datang']",positif
"Luar biasa pak dampak chatGPT ini bagi mahasiswa, saya rasa dunia pendidikan akan dipaksa berkembang ke arah yang tidak pernah kita pikirkan sebelumnya. Proses pendidikan konvensional bakal tidak relevan lagi setelah adanya chatGPT ini",Luar biasa pak dampak chatGPT ini bagi mahasiswa saya rasa dunia pendidikan akan dipaksa berkembang ke arah yang tidak pernah kita pikirkan sebelumnya Proses pendidikan konvensional bakal tidak relevan lagi setelah adanya chatGPT ini,luar biasa pak dampak chatgpt ini bagi mahasiswa saya rasa dunia pendidikan akan dipaksa berkembang ke arah yang tidak pernah kita pikirkan sebelumnya proses pendidikan konvensional bakal tidak relevan lagi setelah adanya chatgpt ini,luar biasa pak dampak chatgpt ini bagi mahasiswa saya rasa dunia pendidikan akan dipaksa berkembang ke arah yang tidak pernah kita pikirkan sebelumnya proses pendidikan konvensional bakal tidak relevan lagi setelah adanya chatgpt ini,"['luar', 'biasa', 'pak', 'dampak', 'chatgpt', 'ini', 'bagi', 'mahasiswa', 'saya', 'rasa', 'dunia', 'pendidikan', 'akan', 'dipaksa', 'berkembang', 'ke', 'arah', 'yang', 'tidak', 'pernah', 'kita', 'pikirkan', 'sebelumnya', 'proses', 'pendidikan', 'konvensional', 'bakal', 'tidak', 'relevan', 'lagi', 'setelah', 'adanya', 'chatgpt', 'ini']","['dampak', 'chatgpt', 'mahasiswa', 'dunia', 'pendidikan', 'dipaksa', 'berkembang', 'arah', 'pikirkan', 'proses', 'pendidikan', 'konvensional', 'relevan', 'chatgpt']","['dampak', 'chatgpt', 'mahasiswa', 'dunia', 'didik', 'paksa', 'kembang', 'arah', 'pikir', 'proses', 'didik', 'konvensional', 'relevan', 'chatgpt']",positif
"Benar sekali, beberapa tahun kedepan dengan kombinasi Metaverse+Blockchain+AI kita akan melihat model pembelajaran yang baru, yang sangat berbeda dengan zaman sekarang. ""Dunia nyata"" kita maybe akan berpindah tempat, berpindah menuju dunia tanpa batas dan dunia kita sekarang akan menjadi ""offline"" world. Mungkin ini terlihat berlebihan, tapi ini nyata terjadi dan semakin dekat.. karena pekerjaan saya sekarang sedang mengembangkan sektor tersebut ",Benar sekali beberapa tahun kedepan dengan kombinasi Metaverse Blockchain AI kita akan melihat model pembelajaran yang baru yang sangat berbeda dengan zaman sekarang Dunia nyata kita maybe akan berpindah tempat berpindah menuju dunia tanpa batas dan dunia kita sekarang akan menjadi offline world Mungkin ini terlihat berlebihan tapi ini nyata terjadi dan semakin dekat karena pekerjaan saya sekarang sedang mengembangkan sektor tersebut,benar sekali beberapa tahun kedepan dengan kombinasi metaverse blockchain ai kita akan melihat model pembelajaran yang baru yang sangat berbeda dengan zaman sekarang dunia nyata kita maybe akan berpindah tempat berpindah menuju dunia tanpa batas dan dunia kita sekarang akan menjadi offline world mungkin ini terlihat berlebihan tapi ini nyata terjadi dan semakin dekat karena pekerjaan saya sekarang sedang mengembangkan sektor tersebut,benar sekali beberapa tahun kedepan dengan kombinasi metaverse blockchain ai kita akan melihat model pembelajaran yang baru yang sangat berbeda dengan zaman sekarang dunia nyata kita maybe akan berpindah tempat berpindah menuju dunia tanpa batas dan dunia kita sekarang akan menjadi offline world mungkin ini terlihat berlebihan tapi ini nyata terjadi dan semakin dekat karena pekerjaan saya sekarang sedang mengembangkan sektor tersebut,"['benar', 'sekali', 'beberapa', 'tahun', 'kedepan', 'dengan', 'kombinasi', 'metaverse', 'blockchain', 'ai', 'kita', 'akan', 'melihat', 'model', 'pembelajaran', 'yang', 'baru', 'yang', 'sangat', 'berbeda', 'dengan', 'zaman', 'sekarang', 'dunia', 'nyata', 'kita', 'maybe', 'akan', 'berpindah', 'tempat', 'berpindah', 'menuju', 'dunia', 'tanpa', 'batas', 'dan', 'dunia', 'kita', 'sekarang', 'akan', 'menjadi', 'offline', 'world', 'mungkin', 'ini', 'terlihat', 'berlebihan', 'tapi', 'ini', 'nyata', 'terjadi', 'dan', 'semakin', 'dekat', 'karena', 'pekerjaan', 'saya', 'sekarang', 'sedang', 'mengembangkan', 'sektor', 'tersebut']","['kedepan', 'kombinasi', 'metaverse', 'blockchain', 'ai', 'model', 'pembelajaran', 'berbeda', 'zaman', 'dunia', 'nyata', 'maybe', 'berpindah', 'berpindah', 'dunia', 'batas', 'dunia', 'offline', 'world', 'nyata', 'pekerjaan', 'mengembangkan', 'sektor']","['depan', 'kombinasi', 'metaverse', 'blockchain', 'ai', 'model', 'ajar', 'beda', 'zaman', 'dunia', 'nyata', 'maybe', 'pindah', 'pindah', 'dunia', 'batas', 'dunia', 'offline', 'world', 'nyata', 'kerja', 'kembang', 'sektor']",positif
"Benar. Cocoknya sekarang lebih ke belajar analisis, bukan hapalan lagi.",Benar Cocoknya sekarang lebih ke belajar analisis bukan hapalan lagi,benar cocoknya sekarang lebih ke belajar analisis bukan hapalan lagi,benar cocoknya sekarang lebih ke belajar analisis bukan hapalan lagi,"['benar', 'cocoknya', 'sekarang', 'lebih', 'ke', 'belajar', 'analisis', 'bukan', 'hapalan', 'lagi']","['cocoknya', 'belajar', 'analisis', 'hapalan']","['cocok', 'ajar', 'analisis', 'hapalan']",positif
 @imamupayanto  tidak mungkin secara cepat terjadi. Perkembangan teknologi tidak beriringan dengan pertumbuhan ekonomi akan menyebabkan ketimpangan kelas sosial yang luar biasa.,tidak mungkin secara cepat terjadi Perkembangan teknologi tidak beriringan dengan pertumbuhan ekonomi akan menyebabkan ketimpangan kelas sosial yang luar biasa,tidak mungkin secara cepat terjadi perkembangan teknologi tidak beriringan dengan pertumbuhan ekonomi akan menyebabkan ketimpangan kelas sosial yang luar biasa,tidak mungkin secara cepat terjadi perkembangan teknologi tidak beriringan dengan pertumbuhan ekonomi akan menyebabkan ketimpangan kelas sosial yang luar biasa,"['tidak', 'mungkin', 'secara', 'cepat', 'terjadi', 'perkembangan', 'teknologi', 'tidak', 'beriringan', 'dengan', 'pertumbuhan', 'ekonomi', 'akan', 'menyebabkan', 'ketimpangan', 'kelas', 'sosial', 'yang', 'luar', 'biasa']","['cepat', 'perkembangan', 'teknologi', 'beriringan', 'pertumbuhan', 'ekonomi', 'menyebabkan', 'ketimpangan', 'kelas', 'sosial']","['cepat', 'kembang', 'teknologi', 'iring', 'tumbuh', 'ekonomi', 'sebab', 'timpang', 'kelas', 'sosial']",positif
" @rifqil5633  Dunia kita sekarang bro, real lifenya berpidah tempat ke online. Karena metaverse (XR secara keseluruhan) itu bakal menjadi teknologi yang akan kita pakai sehari hari. Harga devicenya akan semakin terjangkau. Oiya dengan bantuan AI juga, bayangkan lebih mahal mana membuat AI dengan tubuh nyata di offline atau di online (metaverse)? tentunya yang virtual lebih murah kan? tinggal buat avatar dan masukin otaknya pakai AI.. jadi deh temen virtual, hehe",Dunia kita sekarang bro real lifenya berpidah tempat ke online Karena metaverse XR secara keseluruhan itu bakal menjadi teknologi yang akan kita pakai sehari hari Harga devicenya akan semakin terjangkau Oiya dengan bantuan AI juga bayangkan lebih mahal mana membuat AI dengan tubuh nyata di offline atau di online metaverse tentunya yang virtual lebih murah kan tinggal buat avatar dan masukin otaknya pakai AI jadi deh temen virtual hehe,dunia kita sekarang bro real lifenya berpidah tempat ke online karena metaverse xr secara keseluruhan itu bakal menjadi teknologi yang akan kita pakai sehari hari harga devicenya akan semakin terjangkau oiya dengan bantuan ai juga bayangkan lebih mahal mana membuat ai dengan tubuh nyata di offline atau di online metaverse tentunya yang virtual lebih murah kan tinggal buat avatar dan masukin otaknya pakai ai jadi deh temen virtual hehe,dunia kita sekarang saudara real lifenya berpidah tempat ke online karena metaverse xr secara keseluruhan itu bakal menjadi teknologi yang akan kita pakai sehari hari harga devicenya akan semakin terjangkau oiya dengan bantuan ai juga bayangkan lebih mahal mana membuat ai dengan tubuh nyata di offline atau di online metaverse tentunya yang virtual lebih murah kan tinggal buat avatar dan masukin otaknya pakai ai jadi deh temen virtual hehe,"['dunia', 'kita', 'sekarang', 'saudara', 'real', 'lifenya', 'berpidah', 'tempat', 'ke', 'online', 'karena', 'metaverse', 'xr', 'secara', 'keseluruhan', 'itu', 'bakal', 'menjadi', 'teknologi', 'yang', 'akan', 'kita', 'pakai', 'sehari', 'hari', 'harga', 'devicenya', 'akan', 'semakin', 'terjangkau', 'oiya', 'dengan', 'bantuan', 'ai', 'juga', 'bayangkan', 'lebih', 'mahal', 'mana', 'membuat', 'ai', 'dengan', 'tubuh', 'nyata', 'di', 'offline', 'atau', 'di', 'online', 'metaverse', 'tentunya', 'yang', 'virtual', 'lebih', 'murah', 'kan', 'tinggal', 'buat', 'avatar', 'dan', 'masukin', 'otaknya', 'pakai', 'ai', 'jadi', 'deh', 'temen', 'virtual', 'hehe']","['dunia', 'saudara', 'real', 'lifenya', 'berpidah', 'online', 'metaverse', 'xr', 'teknologi', 'pakai', 'sehari', 'harga', 'devicenya', 'terjangkau', 'oiya', 'bantuan', 'ai', 'bayangkan', 'mahal', 'ai', 'tubuh', 'nyata', 'offline', 'online', 'metaverse', 'virtual', 'murah', 'tinggal', 'avatar', 'masukin', 'otaknya', 'pakai', 'ai', 'deh', 'temen', 'virtual', 'hehe']","['dunia', 'saudara', 'real', 'lifenya', 'berpidah', 'online', 'metaverse', 'xr', 'teknologi', 'pakai', 'hari', 'harga', 'devicenya', 'jangkau', 'oiya', 'bantu', 'ai', 'bayang', 'mahal', 'ai', 'tubuh', 'nyata', 'offline', 'online', 'metaverse', 'virtual', 'murah', 'tinggal', 'avatar', 'masukin', 'otak', 'pakai', 'ai', 'deh', 'temen', 'virtual', 'hehe']",positif
